idPersonne,CM,TD,Referentiel,ServiceDu,SoldeHETD,parcours
1,22.50,22.50,NA,0.00,93.75,CEN1
1,15.00,15.00,NA,0.00,93.75,CEN2
2,30.00,0.00,0.00,192.00,+85.50,TN2
3,15.00,15.00,NA,0.00,37.50,TN2
4,0.00,24.00,NA,0.00,24.00,PATRI2
5,1.20,1.80,0.00,192.00,-6.10,TN2
6,15.00,15.00,NA,0.00,37.50,TN1
7,22.00,15.00,0.00,157.00,+234.65,CEN1
7,45.00,45.00,0.00,157.00,+234.65,NET1
7,13.50,13.50,0.00,157.00,+234.65,PATRI2
8,7.50,7.50,NA,0.00,18.75,TN1
9,96.00,168.00,0.00,192.00,+220.50,PATRI2
9,36.00,0.00,0.00,192.00,+220.50,PATRI1
10,15.00,15.00,0.00,192.00,+76.75,CEN1
10,15.00,15.00,0.00,192.00,+76.75,NET2
10,45.00,45.00,0.00,192.00,+76.75,THYP2
11,15.00,15.00,NA,0.00,75.00,THYP2
12,30.00,30.00,0.00,192.00,-4.50,CEN1
12,15.00,15.00,0.00,192.00,-4.50,NET1
12,30.00,30.00,0.00,192.00,-4.50,CEN2
13,15.00,15.00,NA,0.00,37.50,TN2
14,15.00,15.00,0.00,96.00,-21.00,CEN1
14,15.00,15.00,0.00,96.00,-21.00,CEN2
15,7.00,0.00,0.00,184.00,+68.75,CEN1
15,15.00,50.00,0.00,184.00,+68.75,GSI1
15,0.00,30.00,0.00,184.00,+68.75,ACEHN
15,47.50,38.50,0.00,184.00,+68.75,GSI2
15,12.00,0.00,0.00,184.00,+68.75,PATRI2
16,15.00,15.00,NA,0.00,37.50,GSI1
17,15.00,15.00,NA,0.00,150.60,CEN2
18,22.50,22.50,NA,0.00,56.25,NET1
19,3.00,3.00,0.00,192.00,+168.00,CEN1
19,71.00,41.00,0.00,192.00,+168.00,GSI1
19,15.00,20.00,0.00,192.00,+168.00,GSI2
19,15.00,15.00,0.00,192.00,+168.00,NET2
19,24.00,0.00,0.00,192.00,+168.00,PATRI2
20,6.00,14.00,0.00,96.00,-73.00,GSI1
21,7.50,7.50,NA,0.00,18.75,TN2
22,15.00,15.00,0.00,96.00,-13.50,CEN1
22,0.00,45.00,0.00,96.00,-13.50,CEN2
23,15.00,15.00,NA,0.00,37.50,CEN1
24,30.00,30.00,0.00,192.00,+52.00,CEN1
24,15.00,15.00,0.00,192.00,+52.00,NET1
24,15.00,15.00,0.00,192.00,+52.00,ACEHN
25,15.00,15.00,NA,0.00,37.50,CEN1
26,15.00,15.00,NA,0.00,37.50,CEN2
27,15.00,0.00,0.00,96.00,0.00,GSI1
27,9.00,21.00,0.00,96.00,0.00,GSI2
27,0.00,39.00,0.00,96.00,0.00,PATRI1
28,15.00,15.00,0.00,64.00,-14.50,NET2
29,5.00,44.00,0.00,192.00,+150.75,GSI1
29,40.50,40.50,0.00,192.00,+150.75,TN1
29,0.00,30.00,0.00,192.00,+150.75,ACEHN
29,0.00,4.00,0.00,192.00,+150.75,GSI2
29,0.00,30.00,0.00,192.00,+150.75,PATRI2
29,0.00,36.00,0.00,192.00,+150.75,PATRI1
30,12.00,0.00,0.00,96.00,0.00,GSI1
30,36.00,24.00,0.00,96.00,0.00,GSI2
31,0.00,30.00,0.00,192.00,+137.00,TN1
31,0.00,6.00,0.00,192.00,+137.00,TN2
32,45.00,45.00,NA,0.00,115.50,CEN1
33,3.00,15.00,NA,0.00,19.50,GSI1
34,0.00,15.00,0.00,192.00,+95.00,CEN1
34,3.00,3.00,0.00,192.00,+95.00,TN1
34,53.00,22.00,0.00,192.00,+95.00,CEN2
34,15.00,15.00,0.00,192.00,+95.00,NET2
34,0.00,22.50,0.00,192.00,+95.00,TN2
35,7.50,7.50,NA,0.00,18.75,TN1
36,31.50,31.50,0.00,192.00,+42.25,CEN1
36,15.00,15.00,0.00,192.00,+42.25,ACEHN
36,15.00,15.00,0.00,192.00,+42.25,CEN2
36,10.00,10.00,0.00,192.00,+42.25,GSI2
36,15.00,15.00,0.00,192.00,+42.25,NET2
37,15.00,15.00,NA,0.00,37.50,CEN1
38,15.00,15.00,0.00,192.00,+95.65,NET1
38,7.30,7.30,0.00,192.00,+95.65,CEN2
38,45.00,45.00,0.00,192.00,+95.65,THYP2
39,21.00,9.00,0.00,192.00,+109.00,CEN1
39,30.00,30.00,0.00,192.00,+109.00,NET1
39,39.00,39.00,0.00,192.00,+109.00,ACEHN
40,15.00,15.00,0.00,230.00,+1.00,CEN1
41,27.00,21.00,0.00,192.00,+105.00,CEN1
41,25.00,26.00,0.00,192.00,+105.00,ACEHN
41,0.00,15.00,0.00,192.00,+105.00,GSI2
41,15.00,15.00,0.00,192.00,+105.00,NET2
41,15.00,15.00,0.00,192.00,+105.00,THYP2
42,12.00,12.00,NA,0.00,30.00,NET2
43,15.00,15.00,NA,0.00,47.50,NET1
44,7.50,7.50,NA,0.00,18.75,CEN1
45,30.00,30.00,NA,0.00,75.00,CEN1
46,3.00,0.00,0.00,192.00,+74.50,TN2
47,7.50,7.50,NA,0.00,18.75,TN2
48,0.00,20.00,NA,0.00,20.00,ACEHN
49,15.00,15.00,NA,0.00,37.50,NET1
50,15.00,15.00,NA,0.00,37.50,CEN1
51,15.00,15.00,0.00,192.00,+40.50,NET1
51,45.00,45.00,0.00,192.00,+40.50,NET2
51,30.00,0.00,0.00,192.00,+40.50,TN2
51,15.00,15.00,0.00,192.00,+40.50,THYP2
